Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
DARIVA SALES AND MARKETING LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLTMB100441,SAFETY AND INDUSTRIAL  SUPPLIES,,LP#1539/2,"BELLE VUE #3, POINT D'OR",LA BREA,POINT FORTIN,POINT FORTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,630330,3563611,PRIMARY,darivasales2020@gmail.com,02/04/2024 3:14:39 PM,DARIVA SALES AND MARKETING LIMITED,LIMITED LIABILITY,4,SAFETY AND INDUSTRIAL  SUPPLIES,DARIVA SALES AND MARKETING LIMITED,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
GIFT LAND,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPJKI109440,"Party Supplies, Gift Supplies, Household Items, balloon garlands with backdrop",SPENCE PLAZA,Ground Floor,Wilson Road,,SCARBOROUGH,TOBAGO,TRINIDAD AND TOBAGO,00000,18684947468,PRIMARY,vrsyeatea@gmail.com,04/04/2024 1:26:28 PM,GIFT LAND,SOLE PROPRIETORSHIP,3,"Party Supplies, Gift Supplies, Household Items, balloon garlands with backdrop",GIFT LAND,NO,,YES,$20 THINGZ,NO,,2016,TRINIDAD AND TOBAGO,"www.giftlandtobago.com, www.facebook.com/giftlandtobago, www.instagram.com/giftlandtobago, www.facebook.com/20thingz"
MOHAMMED MARKETING LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJIF105399,"Supplier of all construction materials, plumbing, 
electrical, cupboard, car care, home & garden supplies, general maintenance and building services",MOHAMMED MARKETING LIMITED,#256 St Julien Village,Princes Town,,PRINCES TOWN,PRINCES TOWN REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,678-1122/ 681-6972,PRIMARY,momarketing1991@gmail.com,04/04/2024 2:15:38 PM,MOHAMMED MARKETING LIMITED,LIMITED LIABILITY,3,"Supplier of all construction materials, plumbing, 
electrical, cupboard, car care, home & garden supplies, general maintenance and building services",MOHAMMED MARKETING LIMITED,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,"Princes town
256 st julien village princes town"
THE KRAISE DEPO LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLENH119815,"Grocery, Wholesale Grocer",,#52 Jasper Avenue Diamond Vale,,,DIEGO MARTIN,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,868-482-5654,,Kraisedepo@gmail.com,08/04/2024 4:16:44 PM,THE KRAISE DEPO LTD,LIMITED LIABILITY,10,"Grocery, Wholesale Grocer",THE KRAISE DEPO LTD,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
SOUTHERN SUPPLIES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLYSX102119,"Sales of Oilfield and Industrial Items including pipes, valves, fittings, hand tools, power tools, safety, welding and MRO products",,40-44 SUTTON STREET,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,2354775,PRIMARY,seeta@ssltt.com,17/04/2024 1:22:10 AM,SOUTHERN SUPPLIES LIMITED,LIMITED LIABILITY,150,"Sales of Oilfield and Industrial Items including pipes, valves, fittings, hand tools, power tools, safety, welding and MRO products",SOUTHERN SUPPLIES LIMITED,NO,,NO,,NO,,1982,TRINIDAD AND TOBAGO,https://shopssltt.com/
SHAL HARDWARE PLUMBING AND ELECTRICAL SUPPLIES,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPEGH119322,SELLER OR HARDWARE PLUMBING AND ELECTRICAL SUPPLIES,SHAL HARDWARE,LOT 7 CORNER ADDIE STREET ,KATWAROO TRACE,,PENAL,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,PENAL,788-5302,PRIMARY,shalhardware@gmail.com,17/04/2024 1:28:11 PM,SHAL HARDWARE PLUMBING AND ELECTRICAL SUPPLIES,SOLE PROPRIETORSHIP,6,SELLER OR HARDWARE PLUMBING AND ELECTRICAL SUPPLIES,SHAL HARDWARE PLUMBING AND ELECTRICAL SUPPLIES,NO,,NO,,NO,,2011,TRINIDAD AND TOBAGO,
LADNEK LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJKD105487,"PROVIDER OF FACILITIES MANAGEMENT SERVICES INCLUDING JANITORIAL, HYGIENE, SANITIZATION, ELECTROSTATIC DISINFECTION, GROUNDS AND FLEET MAINTENANCE, AIR DUCT/ VENTILATION CLEANING AND/OR INSPECTION, CAR DETAILING AND MINOR CIVIL WORKS INCLUSIVE OF PAINTING & CONSTRUCTION.
ADDITIONALLY, WE PROVIDE CLEANING, HYGIENE AND PAPER PRODUCTS.",LADNEK LIMITED,#77 SOUTHERN MAIN ROAD,BAMBOO VILLAGE,LA ROMAINE,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,12345,1-868-241-3124,PRIMARY,kendal@ladnek.com,18/04/2024 11:26:31 AM,LADNEK LIMITED,LIMITED LIABILITY,190,"PROVIDER OF FACILITIES MANAGEMENT SERVICES INCLUDING JANITORIAL, HYGIENE, SANITIZATION, ELECTROSTATIC DISINFECTION, GROUNDS AND FLEET MAINTENANCE, AIR DUCT/ VENTILATION CLEANING AND/OR INSPECTION, CAR DETAILING AND MINOR CIVIL WORKS INCLUSIVE OF PAINTING & CONSTRUCTION.
ADDITIONALLY, WE PROVIDE CLEANING, HYGIENE AND PAPER PRODUCTS.",LADNEK LIMITED,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,www.ladnek.com
ISLAND PROPERTY OWNERS ASSOCIATION ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJHF105651,"Marina, Fuel & Grocery Services",,12 Western Main Road,,,CHAGUARAMAS,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8686344443,PRIMARY,ygovia@hotmail.com,30/04/2024 5:03:36 PM,ISLAND PROPERTY OWNERS ASSOCIATION ,LIMITED LIABILITY,14,"Marina, Fuel & Grocery Services",THE ISLAND PROPERTY OWNERS ASSOCIATION OF TRINIDAD LIMITED,NO,,NO,,NO,,1980,TRINIDAD AND TOBAGO,
SMCR SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLUTW116908,"- Commercial and Domestic Maintenance Works. 
- Civil Construction Works. 
- Rental of Scaffolding and Equipment 
- Health, Safety, Environment and Quality Consultancy
- Supply of Materials 
- Labor Supply 
",,,,,,,,,,,smcrserviceslimited@gmail.com,02/05/2024 9:03:11 AM,SMCR SERVICES LIMITED,LIMITED LIABILITY,8,"- Commercial and Domestic Maintenance Works. 
- Civil Construction Works. 
- Rental of Scaffolding and Equipment 
- Health, Safety, Environment and Quality Consultancy
- Supply of Materials 
- Labor Supply 
","SMCR SERVICES [SAMAI MAINTENANCE, CONSTRUCTION AND RENTAL SERVICES] LIMITED",YES,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
VEKRIA CORPORATION LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLKXD106498,"Supplies, Equipment Rental and Construction ",,26 Ruby Avenue ,Emerald Park,,PHILLIPINE,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,+18686809328,,vekriacorporation@gmail.com,06/05/2024 11:34:20 AM,VEKRIA CORPORATION LIMITED,LIMITED LIABILITY,10,"Supplies, Equipment Rental and Construction ",VEKRIA CORPORATION LIMITED,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,
